Customer ID,Month,Month of Joining,zip_code,Gender,Age,Married,Dependents,Number of Dependents,Location ID,Service ID,state,county,timezone,area_codes,country,latitude,longitude,roam_ic,roam_og,loc_og_t2t,total_rech_amt,total_rech_data,vol_4g,vol_5g,arpu,offer,Referred a Friend,Number of Referrals,Phone Service,Multiple Lines,Internet Service,Internet Type,Streaming Data Consumption,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Payment Method,Status ID,Satisfaction Score,Churn Category,Churn Reason,Customer Status,Churn Value
a169435d-1eab-4ecf-9ac9-200b27a6b19c,3,6,66815,Female,74,No,No,2,BbFXz,lZOMu,Pennsylvania,Richbury,Asia/Baku,326,Cocos (Keeling) Islands,-49.8686985,87.893449,No,Yes,89,164,16,77,18,81,Upgrade,No,1,Yes,No,No,Satellite,264,No,Yes,No,Yes,No,Yes,Yes,No,Cash,XEV-IDk-zXY,1,Not Applicable,Pm management through factor TV policy tell.,Stayed,0
320cbba5-631f-46ae-84f2-3ee4786bedb4,9,8,19584,Female,46,No,No,0,LSvYI,xaEBN,Michigan,West David,Africa/Banjul,226,Bhutan,-40.9914775,13.128672,Yes,Yes,23,436,33,91,39,50,Loyalty Offer,No,2,Yes,No,Yes,DSL,370,Yes,No,Yes,No,No,No,Yes,Yes,Bank Withdrawal,gIX-ixV-Uqb,4,Not Applicable,Power heart fact.,Churned,0
907d6b90-94fa-4e27-a27d-1b9e7b63ca43,7,12,12684,Female,87,Yes,No,3,lPZss,HqiJB,Georgia,Thomasberg,Indian/Comoro,41,Niue,-17.5664365,-128.822979,No,No,36,175,86,11,27,81,Discount,Yes,9,No,Yes,Yes,Cable,330,Yes,No,Yes,No,No,Yes,Yes,No,Credit Card,BTY-Hwo-szZ,2,Not Applicable,Glass crime sister expect.,Churned,1
13934b36-a4cc-4028-9e24-825a5abb867e,3,5,32981,Female,62,No,Yes,2,aAUDY,PKNVU,Ohio,Ramosmouth,Pacific/Tongatapu,57,Kuwait,29.9958245,123.447296,No,No,41,786,52,22,9,26,Upgrade,No,8,No,No,Yes,Cable,19,No,No,Yes,No,Yes,Yes,No,Yes,Wallet Balance,PFe-Osr-zll,2,Competitor,Worry lay true write return responsibility at.,Churned,0
78921376-16c9-4c89-8c97-11fdbdb88758,9,2,36365,Male,90,Yes,No,3,MeQad,OZIBC,Texas,Port Kelliberg,Africa/Harare,218,French Guiana,62.1466285,-176.967654,Yes,Yes,37,861,65,72,4,12,Free Data,No,3,No,No,No,DSL,109,Yes,Yes,No,No,Yes,No,No,Yes,Credit Card,CYo-qbP-WAZ,1,Price,Health write brother collection successful.,Stayed,1
75322aca-f838-4be3-8487-cbf736824a6c,9,10,84266,Male,22,No,Yes,3,TzuIg,FXHsT,Maryland,West Katherineborough,Africa/Tunis,98,Bolivia,66.5527225,-137.161664,Yes,Yes,81,658,96,57,91,17,Loyalty Offer,Yes,4,No,Yes,No,Satellite,91,No,No,Yes,Yes,Yes,No,No,No,Bank Withdrawal,KOZ-nIQ-CDe,4,Service Issues,Ago pull at care job professional reason.,Churned,0
553187cf-9133-4db2-b1de-0c6982b75604,5,8,50058,Female,59,Yes,Yes,4,aWHTT,eQqXQ,Ohio,Josephfort,Pacific/Fiji,96,Armenia,73.0848,-117.022795,Yes,No,99,633,94,78,79,88,Free Data,Yes,0,No,Yes,Yes,Cable,46,No,No,Yes,No,No,No,Yes,Yes,Wallet Balance,NQx-xqc-pfg,5,Competitor,Require improve west hundred.,Churned,0
47c3d18a-3cfd-41b8-9a43-dcb737bbd68c,2,6,89845,Male,85,Yes,No,0,ymQDY,ksxAu,Louisiana,East Claire,Asia/Pyongyang,58,Cuba,-74.0265725,141.017147,Yes,Yes,47,329,33,34,91,43,Free Data,Yes,4,No,No,No,Fiber,134,No,Yes,Yes,Yes,No,Yes,No,Yes,Cash,BRQ-heP-TaE,2,Not Applicable,History check our memory model American.,Churned,1
42421e95-54f7-4361-8189-b635d16779a8,11,8,78546,Female,85,Yes,No,3,tIazb,aRfcK,Montana,West Maria,Asia/Taipei,912,Seychelles,36.022514,-35.396563,Yes,No,15,917,80,65,97,21,Loyalty Offer,Yes,2,No,No,No,Cable,90,No,No,No,No,No,Yes,Yes,Yes,Bank Withdrawal,zbP-Ozo-xVX,4,Service Issues,Have artist pass.,Churned,0
64bb213b-8c83-4428-ac1c-e980af436601,9,5,17850,Male,30,No,No,3,JmZYf,JsOUH,Pennsylvania,Nguyenton,Europe/Minsk,253,Equatorial Guinea,23.737728,27.317083,Yes,No,67,460,15,89,2,86,Discount,No,0,No,Yes,Yes,DSL,82,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Credit Card,imE-NID-ABJ,2,Price,Similar structure seek consider director.,Stayed,0
